,terms,titles,pageids
1460,chubu,"['Chūbu region', 'Chubu Centrair International Airport', 'Chubu Electric Power', 'Chūbu-Ōdan Expressway', 'Chūbu-Tenryū Station', 'Chubu-Nippon Broadcasting', 'Chubu Walkathon', 'Tōkai–Tōsan dialect', 'List of regions of Japan', 'Chunichi Dragons', 'Nagano Prefecture', 'Chunichi Shimbun', 'Tokoname', 'Mount Shirouma', 'Chita Noriai', '2016–17 Top League Challenge Series', 'Hamaoka Nuclear Power Plant', 'Tokuyama Dam', 'Ikawa Dam', 'Mount Jōnen', 'Otari, Nagano', 'List of natural gas power stations', 'Hatanagi-II Dam', 'Fukui Prefecture', 'Achi, Nagano', 'Mount Kasa', 'Mount Yari', 'Mount Tsubakuro', 'Greater Nagoya Initiative', 'Chita Power Station']","['53001169', '624492', '39714913', '26639396', '1554143', '1527493', '12189206', '25551645', '495027', '450735', '22473894', '16525904', '61728', '211611', '9712947', '11971819', '22548476', '22549050', '25675599', '202928', '29851999', '29830361', '24636073', '13409785', '9786762', '179782', '624567', '329058', '12605820', '35701250']"
1461,aichi,"['Aichi Prefecture', 'Aichi Kokuki', 'Ōbu, Aichi', 'Aichi E10A', 'Miyoshi, Aichi', 'Aichi Atsuta', 'Aichi D1A', 'Aichi Gakuin University', 'Ichinomiya, Aichi', 'Aichi University', 'Aichi E11A', 'Nagakute, Aichi', 'Toyota, Aichi', 'Tōkai, Aichi', 'Tahara, Aichi', 'Tōei, Aichi', 'Seto, Aichi', 'Aichi E16A', 'Aichi Loop Line', 'Kōta, Aichi', 'Shinshiro, Aichi', 'Aichi D3A', 'Aichi B7A', 'Ama, Aichi', 'Television Aichi Broadcasting', 'Nisshin, Aichi', 'Kanie, Aichi', 'Aichi E8A', 'Aichi F1A', 'Kō Station (Aichi)']","['10402986', '514297', '1791766', '176556', '23149201', '5444821', '10417422', '30093674', '27612607', '14836674', '591538', '12747581', '524618', '14836516', '26664148', '329031', '336005', '10599549', '601520', '601525', '601460', '329083', '329033', '329064', '329084', '1416792', '329044', '601538', '329065', '329067']"
1462,nagoya,"['Nagoya', 'Nagoya Municipal Subway', 'Nagoya Airfield', 'Nagoya University', 'Meitetsu Nagoya Station', 'Nagoya dialect', 'Meitetsu Nagoya Main Line', 'Port of Nagoya', 'Shōwa-ku, Nagoya', 'Nagoya Broadcasting Network', ""Nagoya Women's Marathon"", 'Nagoya kei', 'Nagoya Grampus', 'Minato-ku, Nagoya', 'Nagoya Line (Kintetsu)', 'Tempaku-ku, Nagoya', 'Nagoya WEST FC', 'Nagoya Municipal Subway 3050 series', 'Marunouchi Station (Nagoya)', 'Nagoya Municipal Subway 6050 series', 'Bombing of Nagoya in World War II', 'Nagoya City University', 'Nagoya Institute of Technology', 'Nagoya Protocol', 'Tokushige-Nagoya-Geidai Station', 'Nagoya Castle', 'Nagoya Station', 'Route 16 (Nagoya Expressway)', 'Timeline of Nagoya', 'Hibino Station (Nagoya)']","['7422273', '22775163', '18223233', '9854864', '1536542', '732201', '61720', '267928', '1687065', '355653', '12681785', '249508', '1498959', '400348', '7997387', '29622556', '27046038', '33847153', '417238', '1340264', '36994368', '8127460', '4199001', '6305811', '1533015', '16285301', '1334876', '2619537', '47226119', '18298145']"
1463,fukui,"['Fukui, Fukui', 'Fukui Station (Fukui)', 'Fukui Prefecture', 'Kenichiro Fukui', 'Fukui Domain', 'Kenichi Fukui', 'University of Fukui', 'Obama, Fukui', 'Shiyakushomae Station (Fukui)', 'Fukui Prefectural Dinosaur Museum', 'Nanjō, Fukui', 'List of Historic Sites of Japan (Fukui)', 'Yukari Fukui', 'Tawaramachi Station (Fukui)', 'Awara, Fukui', 'Echizen, Fukui', 'Sakai, Fukui', 'Fukui Railway', 'Hokuriku dialect', 'Shin-Fukui Station', '1948 Fukui earthquake', 'Sekijūjimae Station', 'Fukui Castle', 'Fukui Railway Fukubu Line', 'Tsuruga, Fukui', 'List of mergers in Fukui Prefecture', 'Fukui-Ekimae Station', 'Shozin Fukui', 'Toshihiko Fukui', 'Tsuyoshi Fukui']","['18875765', '1501502', '3327426', '6792950', '24381505', '16797358', '12324060', '18374726', '211611', '4728541', '24361576', '6227111', '24860320', '729933', '2195146', '40171316', '17211660', '860522', '328670', '860506', '24374071', '24511206', '24374522', '2320638', '24381676', '30802055', '328668', '28188865', '4743331', '4009788']"
1464,gifu,"['Gifu', 'FC Gifu', 'Gifu Prefecture', 'Yamagata, Gifu', 'Meitetsu Gifu Station', 'Hida, Gifu', 'Gifu Bus', 'Kakamigahara, Gifu', 'Gifu Castle', 'Motosu, Gifu', 'Yōrō, Gifu', 'Gifu lanterns', 'Gero, Gifu', '2013 FC Gifu season', '2012 FC Gifu season', 'Gifu City Museum of History', 'Wanouchi, Gifu', 'Seki, Gifu', 'Ōno District, Gifu', 'Toki, Gifu', 'Sōfuku-ji (Gifu)', 'Shirakawa, Gifu (town)', 'Gifu umbrellas', 'Gifu City Tower 43', 'Nakatsugawa, Gifu', 'Gifu Seiryu Half Marathon', 'Battle of Gifu Castle', 'Gifu University', 'Shōhō-ji (Gifu)', 'Minokamo, Gifu']","['35289993', '38793277', '17864974', '8819834', '504257', '6792877', '18242098', '3569860', '11113666', '13747789', '183852', '39438387', '5853912', '17191233', '17191450', '504344', '328957', '2459176', '328954', '504331', '328948', '328946', '601737', '14539126', '13350128', '328955', '601697', '331489', '601645', '601776']"
1465,ishikawa,"['Ishikawa Prefecture', ""Bun'yō Ishikawa"", 'Tatsuzō Ishikawa', 'Jun Ishikawa', 'Rokuro Ishikawa', 'Kahoku, Ishikawa', 'Travis Ishikawa', 'Rika Ishikawa', 'IR Ishikawa Railway', 'Noto, Ishikawa', 'Sayuri Ishikawa', 'Chiaki Ishikawa', 'Takuboku Ishikawa', 'Ishikawa diagram', 'Ishikawa Goemon', 'Sayuri Ishikawa discography', 'Kinichiro Ishikawa', 'Nanao, Ishikawa', 'List of Historic Sites of Japan (Ishikawa)', 'Hokuriku Railroad Ishikawa Line', 'Ishikawa, Fukushima', 'List of mergers in Ishikawa Prefecture', 'Ken Ishikawa', 'Hakusan, Ishikawa', 'Shuji Ishikawa', 'Koji Ishikawa (illustrator)', 'Ryo Ishikawa', 'Koji Ishikawa (artist)', 'Eri Ishikawa', 'Komatsu, Ishikawa']","['13521607', '826036', '36372681', '2299886', '18783060', '42262740', '877565', '1015808', '181408', '57535', '1856344', '532830', '7965906', '6268067', '19673607', '18878613', '328662', '36304591', '17211761', '1358674', '7868029', '1197216', '38676279', '11750182', '10125130', '39621890', '52578352', '344464', '6170309', '5328402']"
1466,nagano,"['Nagano, Nagano', 'Chikuma, Nagano', 'Nagano Prefecture', 'Nagano Olympic Commemorative Marathon', 'Nagano Electric Railway', 'AC Nagano Parceiro', 'Ueda, Nagano', 'Ōmachi, Nagano', 'Ōtaki, Nagano', 'Osami Nagano', 'Koumi, Nagano', 'Tōmi, Nagano', 'Fujimi, Nagano', 'Mamoru Nagano', 'Shiojiri, Nagano', 'Makoto Nagano', 'Nagawa, Nagano', 'Shimojō, Nagano', 'Ōkuwa, Nagano', 'Matsukawa, Nagano (Shimoina)', 'Matsumoto, Nagano', 'Shigeichi Nagano', 'Okaya, Nagano', 'Komoro, Nagano', 'Suwa, Nagano', 'Matsukawa, Nagano (Kitaazumi)', 'Nagano Line (Kintetsu)', 'Nagano Station', '1998 Winter Paralympics', ""Nagano Winter Olympics '98""]","['333156', '29905234', '328938', '624442', '328926', '624398', '10309252', '1199315', '16029489', '624482', '147730', '6792932', '10554645', '1464421', '27168177', '179782', '14034191', '5605014', '3682741', '328921', '738184', '13525162', '624500', '328936', '328924', '3697072', '5268563', '624531', '328932', '624529']"
1467,niigata,"['Niigata, Niigata', 'Niigata Prefecture', 'Albirex Niigata Singapore FC', 'Agano, Niigata', 'Niigata Comic Market', 'Myōkō, Niigata', 'Albirex Niigata', 'Jōetsu, Niigata', 'Niigata University', 'Maki, Niigata (Nishikanbara)', 'Shibata, Niigata', 'Chūō-ku, Niigata', 'Tsubame, Niigata', 'Niigata University Station', 'Kōnan-ku, Niigata', 'Nagaoka, Niigata', 'Kamo, Niigata', 'Gosen, Niigata', 'Ojiya, Niigata', 'Sado, Niigata', 'Sanjō, Niigata', 'Niigata Television Network 21', 'Murakami, Niigata', 'Roman Catholic Diocese of Niigata', 'Niigata bugyō', 'Kashiwazaki, Niigata', 'Niigata Minamata disease', 'Niigata-Yakeyama', '1964 Niigata earthquake', 'List of Albirex Niigata players']","['27671165', '1157105', '1167996', '7251156', '11973359', '328636', '6793157', '328625', '328621', '11973407', '38092535', '470374', '328630', '328635', '6793151', '6793142', '34555607', '9860087', '7364406', '181660', '21868428', '543771', '26114820', '16948953', '328624', '15608018', '504225', '328620', '328622', '328631']"
1468,shizuoka,"['Shizuoka, Shizuoka', 'Shizuoka Railway Shizuoka–Shimizu Line', 'Shizuoka Prefecture', 'Shimizu-ku, Shizuoka', 'Shizuoka Airport', 'Shizuoka Railway', 'Itō, Shizuoka', 'Gotemba, Shizuoka', 'Fujieda, Shizuoka', 'Fukuroi, Shizuoka', 'University of Shizuoka', 'Mishima, Shizuoka', 'Fujinomiya, Shizuoka', 'Susono, Shizuoka', 'Iwata, Shizuoka', 'Kosai, Shizuoka', 'Fuji, Shizuoka', 'Shizuoka University', 'Yaizu, Shizuoka', 'Izu, Shizuoka', 'Shizuoka derby', 'Kakegawa, Shizuoka', 'Shimada, Shizuoka', 'Numazu, Shizuoka', 'Atami, Shizuoka', 'Shizuoka Station', 'Shimoda, Shizuoka', 'Yūtō, Shizuoka', 'Shizuoka Stadium', 'Bombing of Shizuoka in World War II']","['328989', '23199797', '328995', '329011', '328991', '329013', '329012', '328992', '328997', '1413045', '329008', '329018', '328990', '328986', '328994', '1804364', '204546', '6792907', '10103399', '180999', '16886630', '10412755', '3368897', '735670', '6026842', '5007445', '329017', '6043365', '329001', '601619']"
1469,toyama,"['Toyama, Toyama', 'Toyama Station', 'Toyama Prefecture', 'University of Toyama', 'Tōyama Mitsuru', 'Toyama Light Rail Toyamakō Line', 'Toyama-ryū', 'Kanken Tōyama', 'Toyama Chihō Railway', 'Himi, Toyama', 'Ainokaze Toyama Railway', 'Toyama Chihō Railway Main Line', 'Nyūzen, Toyama', 'Tōyama Kagemoto', 'Botanic Gardens of Toyama', 'Nao Tōyama', 'Toyama Chihō Railway Tateyama Line', 'Koichi Toyama', 'Takaoka, Toyama', 'Tim Toyama', 'Ema Tōyama', 'List of Historic Sites of Japan (Toyama)', 'Kataller Toyama', '2012 Kataller Toyama season', 'Tateyama, Toyama', 'Imizu, Toyama', 'Namerikawa, Toyama', 'Tōyama no Kin-san', 'Higashi-Toyama Station', 'Toyama Castle']","['35299063', '42262739', '13443250', '3825913', '18784890', '328656', '4772630', '12943925', '14636971', '11037811', '36191083', '328655', '29984024', '860680', '6793161', '860677', '10096857', '6792777', '3274796', '21029167', '10881403', '18784813', '18794813', '10162262', '183452', '7332658', '6763727', '2828611', '6763806', '16031524']"
1470,yamanashi,"['Yamanashi, Yamanashi', 'Yamanashi Prefecture', 'University of Yamanashi', 'Minami-Alps, Yamanashi', 'Minobu, Yamanashi', 'Yamanashi Hanzō', 'Fujikawaguchiko, Yamanashi', 'Kōshū, Yamanashi', 'Ōtsuki, Yamanashi', 'Nanbu, Yamanashi', 'Nirasaki, Yamanashi', 'Tsuru, Yamanashi', 'Shōwa, Yamanashi', 'Hokuto, Yamanashi', 'Uenohara, Yamanashi', 'Kōfu', 'List of Historic Sites of Japan (Yamanashi)', 'Dōshi', 'Yamanakako, Yamanashi', 'Oshino, Yamanashi', 'Fujikawa, Yamanashi', 'Saiko Lake', 'Yamanashi Gakuin University', 'Tabayama', 'Kiyosato, Yamanashi', 'Yamanashi 1st district', 'Nishikatsura', 'Yanagawa Station (Yamanashi)', 'Fuefuki', 'List of mergers in Yamanashi Prefecture']","['629965', '1427188', '29573360', '629971', '1428902', '32516166', '328676', '3714811', '36102663', '12901611', '328682', '629934', '629935', '328681', '629966', '629967', '3254221', '629949', '629978', '328679', '6227254', '4843439', '629968', '328675', '38468681', '15040003', '727477', '181035', '21390921', '328680']"
1471,chugoku,"['Mount Ushiro', 'Mount Daisen', 'Hino River', 'Yunogo Onsen', 'Bungo Province']","['431400', '9767875', '8879281', '11663076', '31331338']"
1472,hiroshima,"['Hiroshima', 'Hiroshima Peace Memorial Park', 'Sanfrecce Hiroshima', 'Atomic bombings of Hiroshima and Nagasaki', 'Hiroshima Prefecture', 'Hiroshima University', 'Hiroshima–Nishi Airport', 'Hiroshima Electric Railway', 'Hiroshima mon amour', 'Hiroshima Castle', 'Hiroshima Dragonflies', 'Mazda Zoom-Zoom Stadium Hiroshima', 'Hiroshima Domain', 'Hiroshima Peace Memorial', 'Fukuyama, Hiroshima', 'The Last Train from Hiroshima', 'Children of Hiroshima', 'Mayors of Hiroshima', 'Hiroshima Peace Memorial Museum', 'Hatsukaichi, Hiroshima', 'Hiroshima Municipal Stadium (1957)', 'Hiroshima Dreamination', 'Mihara, Hiroshima', 'Saijō, Hiroshima (Shōbara)', 'Hiroshima: BBC History of World War II', 'Ōmachi Station (Hiroshima)', 'Hiroshima (book)', 'Hiroshima Station', 'Akitakata, Hiroshima', 'Timeline of Hiroshima']","['1628323', '11778948', '15742802', '6793202', '329343', '59062', '31671361', '838451', '2524130', '12501327', '44153746', '24132973', '8330236', '1906476', '214043', '6207496', '4910965', '179797', '6227028', '665262', '1615727', '4047858', '23926468', '9882118', '329329', '503694', '1171742', '29390332', '47261571', '7701225']"
1473,okayama,"['Okayama', 'Okayama Prefecture', 'Fagiano Okayama', 'Okayama Electric Tramway', 'Okayama University', 'Mimasaka, Okayama', 'Okayama Domain', 'Sakutō, Okayama', 'Okayama Airport', 'Shinjō, Okayama', 'List of Historic Sites of Japan (Okayama)', 'Okayama Castle', 'Okayama International Circuit', 'Okayama Expressway', '2012 Fagiano Okayama season', 'Setouchi, Okayama', 'Takahashi, Okayama', 'Ochiai, Okayama', 'Kume, Okayama', 'Kuse, Okayama', 'Okayama 2nd district (1928–42)', 'Yubara, Okayama', 'Maniwa', 'Yatsuka, Okayama', 'Okayama (disambiguation)', 'Katsuyama, Okayama', 'Tsuyama', 'Kawakami, Okayama (Maniwa)', 'List of mergers in Okayama Prefecture', 'Mimasaka, Okayama (town)']","['35279751', '14532994', '525550', '525472', '525607', '525553', '45447007', '17213928', '3157164', '525598', '34204756', '525551', '6792902', '21877557', '31733751', '2097727', '2927315', '13216230', '10162302', '50641778', '1364398', '183098', '12259956', '525599', '1126740', '525556', '329321', '329316', '525460', '525552']"
1474,shimane,"['Shimane Prefecture', 'Ōda, Shimane', 'Gōtsu, Shimane', 'Nishinoshima, Shimane', 'List of Historic Sites of Japan (Shimane)', 'Shimane at-large district', 'Shimane Maru-class escort carrier', 'Jane Conger Belson Shimané', 'List of Cultural Properties of Japan – paintings (Shimane)', 'Dezzolla Shimane', 'Shimane Nuclear Power Plant', 'Tottori-Shimane at-large district', 'Shimane University', 'Iinan, Shimane', 'Ama, Shimane', 'Taisha, Shimane', 'Okinoshima, Shimane', 'Izumo, Shimane', 'Hamada, Shimane', 'Dōgojima', 'Chibu, Shimane', 'Tamayu, Shimane', 'Tsuwano, Shimane', 'Shimane Susanoo Magic', 'List of mergers in Shimane Prefecture', 'Nishinoshima (Shimane)', 'List of Places of Scenic Beauty of Japan (Shimane)', 'Nakanoshima (Shimane)', 'Matsue', 'Yasugi, Shimane']","['545712', '545714', '36813961', '489417', '329312', '329307', '12078016', '334111', '44567801', '45395685', '36175089', '36908879', '12883662', '6793188', '40125777', '545713', '40126083', '1612037', '14418020', '12111207', '183469', '35333164', '15696425', '49508449', '545673', '545645', '49550929', '545701', '477810', '329309']"
1475,tottori,"['Tottori, Tottori', 'Tottori Prefecture', 'Gainare Tottori', 'Nanbu, Tottori', 'Tottori Sand Dunes', 'Tottori Domain', 'Hōki, Tottori', 'Yonago, Tottori', 'Tottori Airport', 'Kōfu, Tottori', 'Tottori at-large district', 'Tottori University', 'Kotoura, Tottori', 'List of Historic Sites of Japan (Tottori)', 'Sakaiminato, Tottori', 'Hino, Tottori', '2012 Gainare Tottori season', 'Nichinan, Tottori', 'Yazu, Tottori', 'Hiezu, Tottori', 'Kurayoshi, Tottori', 'Tottori-Shimane at-large district', '1943 Tottori earthquake', 'Tottori Castle', 'Wakasa, Tottori', 'Iwami, Tottori', 'Misasa, Tottori', 'List of mergers in Tottori Prefecture', 'Siege of Tottori', 'Daisen, Tottori']","['19997383', '35289949', '556007', '7414099', '556004', '556014', '12289549', '555958', '12289482', '329304', '556015', '36835854', '17213989', '555986', '555998', '556013', '329305', '2662324', '6793174', '49550929', '9618901', '2249805', '13666053', '183454', '6398379', '14759061', '49508432', '555969', '12289578', '6793182']"
1476,yamaguchi,"['Yamaguchi', 'Yamaguchi, Yamaguchi', 'Yamaguchi Prefecture', 'Renofa Yamaguchi FC', 'Kristi Yamaguchi', 'Yamaguchi-gumi', 'Gōgen Yamaguchi', 'Ichiro Yamaguchi', 'Shin-Yamaguchi Station', 'Yamaguchi Falcão', 'Yūdai Yamaguchi', 'Tamon Yamaguchi', 'Tsutomu Yamaguchi', 'Otoya Yamaguchi', 'Masao Yamaguchi', 'Kappei Yamaguchi', 'Momoe Yamaguchi', 'Koichi Yamaguchi', 'Mine, Yamaguchi', 'List of Historic Sites of Japan (Yamaguchi)', 'Ken Yamaguchi', 'Paul Aijirō Yamaguchi', 'Gorō Yamaguchi', 'Rina Nakanishi', 'Hitomi Yamaguchi', 'Yuriko Yamaguchi (voice actress)', 'Tazuo Yamaguchi', 'Yoshiko Yamaguchi', 'Yamaguchi University', 'Ōshima District, Yamaguchi']","['9035877', '18269425', '8953233', '47158883', '601237', '9939969', '10529075', '17291', '36403965', '12190380', '329357', '1891203', '2835898', '43583567', '36556047', '29119564', '15978991', '1386140', '13557247', '22115877', '19655699', '6793224', '588184', '36577670', '183076', '14834763', '2025621', '771407', '24430830', '503501']"
